10000 3
7 10 1
9 11 1
2 5 3
18 22 1
10 13 2
5 8 2
10 13 1
23 3 3
11 14 2
6 9 3
13 16 2
22 2 3
2 6 2
19 22 3
16 18 3
22 23 2
18 20 3
11 13 1
4 8 3
13 16 2
2 5 2
21 0 3
3 6 3
17 21 3
6 7 2
18 22 1
4 6 3
3 7 3
18 21 3
7 12 1
23 2 3
4 8 3
4 5 2
1 4 3
5 8 2
2 6 3
9 11 2
20 23 3
5 7 2
6 8 3
0 2 1
16 19 2
23 1 3
18 21 2
2 6 1
10 14 2
21 22 1
23 2 3
12 16 3
19 22 3
9 12 1
22 0 2
4 7 3
1 3 2
1 4 2
23 1 1
1 5 2
21 0 3
9 14 3
5 9 1
6 8 3
22 1 3
22 1 1
2 5 1
21 0 1
23 3 1
3 7 3
14 17 2
10 13 2
10 12 2
19 23 2
3 7 3
17 22 1
2 6 1
17 19 2
21 1 3
17 20 3
0 4 2
4 5 1
20 0 3
6 8 3
7 9 1
16 19 3
18 21 2
20 23 2
19 23 1
16 18 3
14 17 1
22 0 3
9 12 1
8 11 2
13 17 1
13 16 3
3 7 3
6 8 1
8 12 1
12 15 2
8 12 1
4 7 1
14 19 2
6 9 2
22 1 1
7 10 1
7 11 3
20 0 2
19 23 2
21 23 3
15 18 2
10 15 1
0 2 2
4 8 1
10 11 3
3 6 2
16 20 2
9 10 3
0 2 2
21 0 3
22 1 3
4 6 1
22 3 2
16 19 1
13 15 1
11 14 1
6 9 1
8 10 1
14 18 2
23 2 2
1 4 3
7 10 1
6 11 2
8 13 2
18 20 3
18 22 1
16 18 2
8 11 1
6 9 3
23 2 3
13 14 3
16 19 1
18 22 3
0 4 3
0 3 2
8 9 2
18 19 1
4 7 3
9 13 1
13 16 2
0 3 3
22 2 1
5 8 3
16 21 1
18 21 2
7 8 2
11 14 2
1 5 1
20 0 1
15 19 3
12 12 2
5 9 2
1 4 2
12 18 1
19 0 2
6 9 3
6 10 3
19 0 3
2 4 1
1 4 3
23 2 3
2 5 1
1 4 2
17 19 1
23 0 3
2 4 1
21 22 1
20 23 1
21 0 2
4 8 1
5 7 1
1 6 2
16 19 1
5 8 3
20 0 3
2 5 3
21 1 2
1 5 1
7 11 1
4 5 1
10 11 2
1 5 3
12 15 3
1 4 1
21 23 2
9 12 1
4 6 2
15 18 1
7 10 2
4 9 2
22 1 2
11 14 2
7 9 1
2 6 3
21 0 3
13 16 3
11 12 3
1 3 2
3 6 3
18 19 3
12 13 1
11 14 2
10 14 3
6 8 2
18 20 1
10 13 1
10 11 3
4 6 3
3 6 3
10 13 2
21 0 2
9 13 3
11 14 2
1 5 1
16 19 2
15 20 3
14 15 3
12 15 2
19 23 1
18 21 2
11 13 3
21 0 3
5 7 3
7 11 3
2 4 2
16 18 2
13 17 3
15 17 2
3 7 3
9 12 2
13 17 1
23 1 3
11 14 2
13 15 1
21 2 3
3 6 2
2 4 2
13 16 3
18 21 3
20 22 1
14 16 2
9 12 3
2 2 2
14 17 2
0 3 3
9 11 1
22 2 1
9 12 2
6 10 3
14 19 2
12 14 2
4 7 3
6 9 1
19 23 1
3 6 1
2 7 1
12 15 1
18 21 1
7 10 3
7 11 1
6 9 3
23 2 2
0 4 1
8 12 2
5 8 1
17 20 1
14 17 3
4 6 1
9 11 1
16 19 2
15 16 1
21 2 1
6 9 3
22 2 1
10 11 3
16 18 3
11 14 2
13 16 1
9 12 2
11 13 2
1 5 1
2 2 1
18 21 3
9 13 3
3 6 1
22 0 2
21 1 2
10 14 2
0 2 2
17 18 2
4 7 1
6 8 1
11 15 1
18 20 2
18 20 1
23 1 3
5 8 2
12 13 1
7 9 3
13 15 3
8 13 1
1 3 1
0 4 2
16 21 3
11 13 1
21 1 3
0 4 2
20 0 3
13 17 3
3 5 2
17 20 2
19 21 2
16 21 3
16 18 2
8 10 3
5 7 3
15 19 3
15 18 1
1 4 3
1 4 2
11 15 1
13 16 3
12 13 1
21 3 1
6 10 3
5 8 2
10 13 3
19 22 1
19 22 2
0 3 2
18 22 2
6 10 1
7 12 3
13 16 1
4 6 1
12 15 3
13 17 2
1 4 2
3 7 1
3 6 1
12 14 2
23 2 2
0 2 3
23 0 2
4 7 1
4 8 3
21 1 3
8 11 1
16 19 1
12 15 3
9 13 2
16 17 3
19 21 1
13 17 1
5 6 1
20 23 1
17 19 1
15 18 1
0 3 3
10 14 1
17 20 1
9 11 2
19 23 1
7 10 3
9 13 3
15 17 3
13 15 1
8 11 2
9 11 2
17 21 2
2 4 3
23 1 3
0 5 2
4 8 3
13 14 3
23 2 2
5 9 1
15 19 2
14 17 1
16 18 3
15 15 1
15 18 2
2 3 2
20 0 2
13 17 2
18 20 2
20 0 2
12 12 3
18 20 3
15 18 1
6 9 1
4 10 3
7 10 1
13 15 3
16 19 3
6 10 3
1 4 1
20 23 1
23 1 2
9 13 3
5 8 1
20 22 3
9 13 3
7 12 1
2 4 1
3 8 2
18 21 1
8 11 1
18 19 2
18 20 3
4 8 3
2 5 2
18 21 3
9 11 2
22 2 3
0 4 1
17 19 3
17 20 3
10 14 1
18 21 1
20 23 1
12 16 2
6 9 1
7 8 3
6 8 3
7 10 1
15 19 1
2 5 2
18 22 2
18 21 2
2 4 2
9 13 2
10 11 3
0 3 2
3 7 3
19 22 2
11 13 2
5 8 3
8 12 3
13 17 3
6 9 3
15 18 2
4 7 1
3 4 2
19 21 1
5 7 3
15 18 1
17 18 3
4 7 2
6 9 2
8 10 1
0 3 1
9 13 1
16 20 2
12 15 3
21 1 3
17 20 2
9 12 3
6 11 3
6 9 2
5 8 2
6 10 2
7 9 2
11 14 1
8 10 2
3 8 3
11 16 3
20 23 1
21 23 2
1 4 3
22 0 2
23 2 2
1 4 1
2 4 3
16 18 1
1 4 2
7 8 3
7 10 1
19 21 2
18 21 3
16 19 2
6 7 1
21 23 1
4 8 2
6 8 3
0 2 3
0 4 3
9 13 3
16 20 1
15 17 3
19 22 2
1 4 3
22 1 3
11 13 2
14 17 1
21 23 2
21 0 2
13 17 1
12 15 3
4 7 3
3 6 1
9 15 3
22 23 2
10 16 2
19 22 3
10 16 2
0 5 3
0 1 2
4 9 2
6 9 2
2 4 2
10 14 2
14 17 1
7 10 3
17 20 3
10 13 1
16 19 3
3 7 1
13 15 2
15 19 2
15 19 3
22 1 2
4 6 1
20 23 1
0 4 3
3 7 1
3 4 3
0 3 3
20 23 2
23 3 1
20 22 2
21 23 1
21 23 1
15 19 2
4 7 3
5 8 2
19 22 2
9 12 3
1 6 1
22 1 2
9 12 2
11 14 2
8 10 1
16 19 3
23 2 1
8 11 3
1 5 1
13 16 3
9 13 3
1 4 3
18 23 1
13 15 3
4 10 3
11 15 3
20 23 1
16 19 1
18 21 3
12 14 1
15 19 3
18 21 1
7 10 2
15 18 2
19 21 2
10 13 3
5 9 2
7 9 1
2 5 1
14 18 2
2 4 3
4 6 1
14 17 1
22 0 1
10 14 3
12 14 3
17 19 1
23 3 3
17 20 3
12 15 1
12 16 3
16 20 2
19 0 2
22 23 2
10 13 3
14 17 1
4 8 2
11 14 1
6 9 1
7 8 3
6 7 1
0 4 1
0 2 1
21 0 2
1 3 2
20 2 2
22 2 2
13 16 1
7 10 2
17 20 3
15 17 3
3 5 2
19 22 1
14 16 3
10 13 1
16 18 3
6 9 3
21 1 1
6 9 1
8 10 2
12 13 1
20 0 3
2 5 2
4 7 2
5 8 1
21 22 1
15 19 1
4 7 2
7 10 2
0 4 2
5 10 3
3 4 3
10 13 1
17 19 3
8 10 2
13 15 1
2 4 3
6 8 1
18 22 1
11 14 3
10 12 3
6 6 3
5 8 1
6 9 1
15 18 3
2 6 2
18 21 1
5 8 3
19 21 1
5 8 1
10 15 3
18 22 1
13 16 2
2 5 1
14 17 1
13 16 1
17 20 1
17 20 1
12 15 3
4 8 1
5 8 1
5 9 2
6 8 3
14 18 1
16 19 3
5 8 1
7 10 1
0 5 2
23 2 1
7 10 2
5 9 2
18 21 2
18 19 1
23 3 1
5 9 2
19 22 2
2 5 2
3 6 3
17 19 3
0 4 3
2 3 3
16 17 2
19 20 2
2 6 1
1 3 3
10 14 3
7 11 1
1 6 3
21 1 1
8 10 3
12 15 1
17 19 2
9 13 2
15 19 1
15 19 1
19 23 1
13 17 1
15 17 2
16 20 2
12 15 3
1 4 3
23 3 1
18 22 2
1 5 3
5 9 1
4 8 3
1 4 1
7 8 2
2 5 1
21 0 1
13 15 1
16 18 3
8 11 3
10 14 1
2 4 2
10 14 3
21 0 3
7 10 2
20 23 2
9 12 2
3 5 1
21 2 1
15 16 1
23 3 1
0 3 3
18 20 2
9 12 3
4 7 3
0 2 2
23 2 2
4 7 1
6 9 2
10 14 1
23 2 1
0 3 3
18 21 1
21 0 2
3 7 1
3 8 1
15 18 1
20 23 1
11 15 1
21 0 1
13 16 2
15 18 2
1 3 1
23 2 1
19 22 3
19 0 2
3 5 1
3 6 2
14 17 2
11 13 2
20 23 1
22 1 3
17 19 1
17 20 3
9 12 2
2 5 2
7 9 3
20 1 2
19 23 3
13 15 1
18 20 2
21 22 1
16 18 2
2 5 1
4 8 3
22 23 3
14 16 2
16 19 3
1 5 2
22 0 1
12 16 2
7 11 3
1 4 3
2 4 3
7 9 2
13 17 1
3 5 3
5 9 3
15 17 3
1 3 1
11 13 1
20 0 1
15 19 1
7 11 3
0 4 1
19 22 2
7 9 3
5 8 1
20 1 1
19 22 3
2 5 1
23 2 1
6 12 2
18 22 1
5 7 1
2 4 2
21 0 3
0 4 1
19 23 3
9 10 3
9 12 3
1 5 3
8 11 1
12 14 1
23 2 3
5 9 3
6 9 2
8 10 3
13 16 3
15 18 2
5 7 1
11 14 1
18 21 3
5 8 1
11 15 3
11 14 2
2 4 1
3 6 1
19 22 3
17 21 2
9 13 3
20 1 3
21 2 3
4 8 2
5 8 3
10 13 1
4 7 3
10 13 2
22 3 1
20 23 1
22 0 3
23 3 3
14 17 1
2 5 2
15 17 1
6 8 2
23 1 2
14 16 3
4 7 3
9 13 2
1 3 1
10 13 2
10 14 2
3 3 3
8 11 3
1 4 3
11 15 3
2 7 3
15 18 1
12 15 3
12 16 2
7 9 1
16 19 3
3 6 2
9 11 2
19 20 3
6 9 2
1 5 1
3 6 2
10 13 1
22 0 3
23 4 2
10 14 1
14 18 2
17 20 1
18 22 1
17 18 1
13 15 2
23 3 3
14 17 1
15 19 3
6 8 1
13 16 3
5 9 1
6 10 1
19 0 3
4 7 2
14 18 2
21 23 3
13 18 3
6 9 3
1 5 1
22 0 1
19 22 1
4 9 3
2 4 3
4 5 2
2 5 1
13 17 2
21 0 2
13 16 3
18 21 2
20 0 2
3 6 2
6 8 1
15 19 2
12 16 2
3 6 2
5 9 3
3 7 3
5 8 1
0 2 1
2 5 1
19 22 1
18 20 3
1 4 1
16 20 3
7 9 2
15 17 2
11 14 1
19 0 3
8 12 3
1 3 1
6 10 3
7 10 3
23 1 2
21 23 1
23 2 3
10 13 2
19 21 3
15 20 1
4 7 1
0 3 1
16 19 2
9 12 3
8 11 3
17 21 1
10 14 1
8 12 1
5 7 1
0 4 2
7 9 3
18 21 1
3 5 3
4 8 2
11 14 1
13 16 3
21 23 3
14 17 2
18 22 1
6 8 1
0 3 3
6 9 2
13 18 3
14 15 3
16 19 3
16 16 2
22 1 2
4 6 2
21 0 2
6 9 1
18 21 3
16 18 1
4 7 2
3 7 2
14 16 1
2 3 3
6 10 2
13 15 3
12 14 2
22 0 2
2 6 3
8 11 1
21 1 2
17 19 1
8 12 2
12 16 1
3 5 3
11 15 3
13 15 1
21 23 3
23 0 3
19 22 2
10 12 2
17 20 1
7 11 1
10 13 1
15 18 1
7 10 1
4 8 2
6 10 2
1 4 1
16 19 1
10 13 1
5 8 1
15 18 3
6 9 2
17 20 2
22 1 2
22 23 1
22 2 2
3 7 3
18 20 1
11 14 1
4 4 2
13 16 2
1 4 3
19 21 1
5 8 3
23 0 1
20 23 2
15 18 3
17 20 2
15 19 3
3 4 2
7 11 2
2 7 1
4 7 1
2 6 2
9 11 2
11 15 1
4 10 1
12 15 2
19 21 1
20 23 2
18 22 2
6 10 2
7 8 2
20 22 3
1 3 1
20 22 1
6 9 3
20 1 2
9 11 3
22 1 2
20 23 2
20 22 2
12 15 3
5 9 3
15 19 2
23 2 3
12 16 2
18 21 3
9 10 3
10 14 2
20 0 1
22 0 2
9 13 3
17 20 2
5 8 2
4 7 2
9 12 2
18 22 3
12 15 2
12 13 2
1 3 2
10 12 2
12 15 3
7 12 3
11 15 3
17 19 1
19 20 1
23 0 2
18 21 3
20 23 1
21 1 3
10 14 2
2 6 1
14 17 1
21 1 3
9 11 3
17 21 3
6 10 2
9 11 3
10 12 3
10 13 1
7 9 1
16 21 1
2 6 3
22 23 3
19 23 1
21 0 3
12 16 1
19 21 2
17 22 3
1 6 1
23 2 3
12 14 1
20 0 3
2 4 3
15 18 2
13 15 2
4 5 3
6 9 1
9 13 3
22 2 3
19 22 2
18 21 2
8 10 3
4 6 1
22 0 2
15 17 2
12 12 1
0 2 3
7 9 1
4 6 3
19 22 3
16 20 1
7 11 1
13 15 1
20 22 2
16 19 1
22 3 2
13 16 3
19 21 1
20 1 1
0 2 1
18 22 2
4 8 2
9 14 2
1 4 3
11 14 2
12 16 1
13 15 1
8 11 2
12 13 3
12 15 2
2 5 2
12 15 1
5 7 1
18 23 1
8 11 1
15 17 3
4 8 2
9 13 2
22 1 1
20 22 3
21 0 1
9 12 2
20 22 1
13 18 2
14 18 1
5 8 3
4 9 3
18 22 3
19 22 2
22 0 3
5 7 3
0 3 1
15 18 2
15 17 1
13 16 3
21 1 1
6 6 1
23 2 1
14 17 1
9 12 1
12 16 2
11 13 3
23 2 2
5 9 3
5 8 1
13 16 2
21 2 2
4 6 3
12 15 1
2 5 3
4 5 1
2 5 2
4 7 3
12 15 2
5 8 3
19 22 1
14 16 1
3 5 2
12 14 2
8 12 1
22 0 3
0 3 2
20 22 3
10 12 2
12 16 1
19 21 1
0 4 3
22 1 2
0 1 1
21 2 2
16 18 1
14 16 1
19 21 1
20 0 3
13 18 1
19 22 1
13 17 3
21 0 2
20 23 3
19 22 1
10 13 2
15 17 3
10 12 3
3 7 1
6 8 1
21 23 1
1 4 3
19 22 1
6 9 3
22 1 2
12 16 3
5 9 1
19 21 3
22 0 1
13 15 1
18 22 3
10 14 1
21 22 2
13 16 1
11 15 2
13 17 1
20 23 2
0 3 2
16 21 1
14 16 2
7 10 3
0 4 3
9 12 2
9 11 2
3 6 2
12 16 1
20 22 2
5 7 3
7 10 1
11 13 1
5 8 2
10 11 3
5 7 1
2 5 2
18 21 2
22 2 3
11 12 2
20 22 3
12 15 3
17 21 1
7 11 1
14 19 2
5 7 3
4 6 1
10 15 1
21 23 1
10 16 1
14 16 2
0 4 2
21 23 3
19 21 1
9 10 1
2 5 3
5 8 1
18 22 1
0 5 2
12 15 3
14 16 1
9 11 1
16 18 2
18 23 3
8 11 3
22 1 3
4 7 3
15 19 3
13 17 2
8 11 2
21 0 3
4 9 2
3 4 2
19 22 3
6 11 3
3 6 3
12 15 2
3 6 1
3 5 3
0 2 3
9 12 1
23 4 1
10 13 3
17 21 1
2 5 2
6 9 3
7 9 1
0 2 2
20 23 3
6 11 1
5 7 3
15 17 2
20 23 2
19 21 1
23 1 3
10 14 2
22 3 2
21 23 3
6 11 2
11 14 3
10 12 1
6 9 3
21 0 2
10 13 3
7 11 1
7 12 2
9 12 2
4 8 2
9 12 2
0 4 2
23 2 1
6 9 1
9 12 3
0 2 2
23 1 1
16 19 2
14 16 2
21 0 3
12 16 2
10 13 1
21 23 1
5 8 1
13 17 2
11 14 3
16 18 2
22 0 2
2 3 3
11 14 3
15 19 3
20 1 1
3 5 3
4 7 3
22 0 2
4 7 1
12 16 3
12 15 2
18 20 1
4 6 3
13 15 1
17 20 2
21 22 2
9 11 3
0 2 2
3 6 3
4 6 3
21 0 1
14 15 2
4 7 3
3 7 2
14 16 3
14 16 1
7 10 2
9 11 1
4 6 2
14 16 2
12 15 1
11 14 2
3 5 2
4 5 1
13 18 2
10 13 2
1 4 1
7 10 3
2 5 1
7 10 2
14 18 2
6 9 2
21 0 1
1 2 3
23 1 2
15 20 2
6 10 3
20 23 1
13 15 1
0 3 3
22 1 2
14 19 2
4 8 1
17 20 1
4 8 3
6 8 2
20 0 2
7 10 2
17 19 2
5 8 1
4 6 3
5 8 3
15 18 2
11 13 3
5 7 2
18 22 2
9 12 3
23 2 3
12 17 1
14 17 3
13 16 3
16 20 1
1 5 1
1 6 1
11 13 3
5 7 1
4 8 3
16 18 2
13 18 3
5 7 2
0 3 1
20 22 3
22 0 2
14 17 1
19 21 2
8 11 1
5 7 1
20 23 2
1 3 3
17 20 3
0 4 1
17 20 2
16 21 2
14 16 1
2 7 1
19 22 1
17 21 3
17 19 2
11 14 2
15 17 1
20 23 1
0 2 1
11 14 3
14 15 1
20 22 2
8 11 2
12 14 1
19 23 2
22 1 3
8 10 2
11 14 2
13 17 2
4 6 3
11 15 3
16 18 3
19 1 2
16 18 1
7 10 1
16 19 2
8 11 3
16 18 3
6 7 3
4 7 1
8 13 2
7 10 2
4 7 2
16 18 2
14 17 1
10 15 2
10 14 1
12 16 2
8 11 3
22 0 1
14 18 2
13 16 1
19 22 2
8 10 1
7 11 1
10 14 2
4 8 2
16 19 3
21 0 3
12 15 2
6 10 3
7 10 1
21 21 2
7 11 1
22 0 2
15 17 1
17 20 2
21 22 1
15 19 3
13 16 3
19 23 1
21 0 2
6 10 3
9 13 2
1 2 3
0 2 2
0 4 3
16 19 1
0 3 3
20 22 2
9 13 1
0 4 1
5 9 3
3 6 1
12 15 3
9 14 1
4 7 2
14 15 1
11 13 3
7 10 1
0 4 2
8 11 1
15 18 1
18 21 2
20 23 3
17 20 1
4 8 3
4 6 3
21 2 3
23 3 1
16 19 1
14 14 3
1 3 3
21 0 3
20 20 2
9 14 1
17 22 3
5 6 1
20 0 2
21 1 3
22 0 1
16 20 1
23 3 1
19 22 1
5 5 1
10 11 3
7 11 2
9 12 2
17 20 3
8 12 3
13 16 2
23 2 2
9 12 2
23 4 1
0 2 2
21 22 1
2 6 1
6 10 2
2 3 2
22 0 2
4 8 2
4 7 1
15 17 2
5 8 2
19 20 3
23 2 2
12 16 3
14 16 3
19 23 2
13 16 2
5 9 1
20 22 3
7 9 1
4 8 3
12 15 1
14 18 2
10 15 2
8 10 2
15 16 1
1 4 3
10 10 2
5 8 3
5 8 1
12 16 2
5 7 2
23 1 2
7 11 3
11 12 2
20 23 2
6 9 1
0 2 1
5 9 3
11 15 2
13 16 3
17 21 2
11 13 2
23 2 3
18 22 1
12 17 3
18 22 3
14 18 3
8 11 1
11 13 3
1 5 1
21 0 1
10 13 1
6 10 1
17 20 1
10 13 3
5 7 3
15 17 1
1 5 1
18 21 2
3 6 1
7 10 1
19 22 3
23 2 2
16 18 2
2 6 2
7 10 2
10 13 1
21 22 2
20 0 2
12 17 1
1 3 2
18 20 2
18 21 2
7 11 1
10 12 2
10 12 3
12 14 3
4 5 1
18 21 1
16 20 2
12 15 1
10 12 2
22 0 1
13 15 1
12 13 1
3 4 3
23 3 2
13 18 1
23 2 2
7 10 2
22 2 3
7 11 2
6 11 2
14 18 2
8 11 1
1 3 2
9 12 3
23 2 2
13 17 3
2 5 2
11 16 1
8 11 3
19 21 3
6 8 3
4 7 2
1 6 2
7 10 1
11 15 1
6 9 1
3 8 1
22 0 3
3 7 2
6 10 2
16 17 2
11 14 3
12 15 3
22 1 3
1 4 2
6 11 1
8 11 2
5 9 3
13 16 1
13 16 2
16 18 3
4 7 2
5 8 1
12 14 2
9 11 1
13 15 2
8 11 3
21 2 3
11 14 1
17 21 2
22 1 1
15 16 1
17 20 1
4 6 2
18 22 1
23 1 1
5 9 1
2 5 2
7 12 2
0 2 3
21 23 2
14 16 1
22 1 1
4 8 1
5 8 3
16 20 1
3 6 3
21 22 2
14 16 2
6 8 1
22 1 2
8 13 1
17 21 3
18 23 2
17 20 2
19 0 3
15 18 2
15 19 2
7 10 3
14 17 3
10 13 3
20 0 2
8 12 1
4 5 1
18 22 2
10 13 1
10 15 2
20 0 2
14 15 3
8 11 2
1 5 1
16 18 3
17 21 1
3 5 2
17 18 3
6 8 2
9 12 1
6 8 1
20 0 3
16 18 1
5 8 2
10 13 1
8 11 1
3 7 2
10 13 1
20 23 3
10 13 1
8 10 1
3 7 3
5 9 2
14 16 2
23 2 2
11 13 1
23 2 3
10 14 3
14 18 2
4 7 3
10 13 1
4 7 1
21 0 2
14 18 2
22 23 1
7 13 1
10 12 3
17 19 3
18 19 3
0 5 3
11 14 3
16 17 2
23 4 3
20 22 1
17 19 2
14 15 3
18 21 1
15 18 2
23 3 2
3 7 2
10 13 2
3 6 1
1 5 3
13 15 2
6 9 1
23 0 3
1 3 1
17 20 3
5 8 1
16 20 1
1 4 1
4 7 1
15 17 1
23 2 2
2 5 2
8 12 2
6 9 2
0 2 1
19 21 3
7 11 3
5 9 2
7 10 2
23 2 3
19 22 1
21 0 2
6 10 1
0 4 1
18 21 2
21 23 2
4 6 1
5 9 2
2 6 1
17 19 2
13 15 1
19 21 1
12 16 2
23 2 2
11 16 2
14 17 2
0 3 3
9 13 1
8 10 3
2 4 2
22 1 1
7 12 2
7 9 3
23 2 2
23 2 2
1 3 2
20 23 1
4 7 2
9 14 2
15 18 2
17 19 2
17 20 1
20 23 1
12 15 1
22 0 2
11 16 1
21 1 2
18 22 2
11 13 1
6 9 2
17 21 3
0 3 3
13 15 3
22 23 3
21 0 3
1 4 1
18 19 3
9 12 2
1 3 3
10 12 2
4 7 1
21 1 1
12 15 1
5 10 3
7 9 3
17 18 3
19 0 3
0 4 2
5 7 3
5 10 3
20 0 3
19 22 2
10 14 2
16 18 1
1 4 2
8 10 3
12 15 3
10 13 1
19 22 1
10 14 1
4 5 3
15 19 2
1 4 1
19 22 1
9 13 1
19 0 2
7 11 3
4 7 2
6 9 1
11 12 3
6 9 1
16 20 1
19 23 1
8 14 2
4 8 3
12 16 3
11 14 3
9 11 3
21 22 2
12 15 2
22 2 3
2 6 1
8 12 2
15 20 2
19 21 3
8 12 3
7 10 1
23 2 3
20 22 2
12 14 3
17 21 3
20 21 3
9 13 2
15 19 3
15 17 1
11 14 3
14 17 3
14 17 2
17 20 3
4 7 1
7 9 2
2 7 3
5 7 3
1 5 3
5 8 2
14 19 2
4 8 3
17 21 2
14 19 3
5 9 2
10 11 1
9 12 3
3 7 3
3 5 2
17 20 3
23 1 2
23 2 2
0 2 3
23 4 3
7 10 2
10 12 3
23 1 1
13 16 1
8 11 3
8 12 1
16 19 1
22 0 3
12 16 1
21 23 1
3 4 1
1 4 1
9 12 2
17 19 2
6 8 3
18 23 1
2 5 1
6 7 1
6 7 2
8 10 2
19 22 1
8 11 2
4 8 3
10 13 2
8 11 3
4 5 1
2 5 3
21 22 1
19 20 2
5 8 1
21 1 3
4 7 1
23 1 2
8 10 1
4 6 3
0 3 2
4 5 2
5 8 2
11 13 1
15 17 2
12 15 3
22 3 1
21 0 2
18 21 1
21 0 3
10 12 2
5 8 2
5 10 2
2 5 2
18 20 3
17 19 1
5 9 1
9 11 3
0 2 1
8 11 2
10 13 1
14 17 2
11 14 2
15 17 2
6 8 1
21 0 1
14 17 1
6 8 2
19 22 3
2 4 2
10 14 3
19 21 2
2 6 2
6 9 1
11 13 1
18 21 1
2 5 2
17 20 3
17 18 2
8 10 3
17 21 3
20 23 1
14 16 2
3 7 1
3 5 3
19 22 3
0 3 2
3 6 1
2 5 3
17 20 2
13 14 3
10 12 3
6 8 1
5 8 2
5 8 2
11 13 3
16 19 1
20 23 1
20 23 1
23 2 3
11 14 2
11 15 1
7 11 3
7 10 3
23 2 1
22 0 2
8 11 3
3 5 1
1 4 1
22 0 3
3 6 2
1 4 2
2 6 3
7 8 1
3 5 1
4 6 2
15 17 3
12 15 1
20 1 3
23 4 1
21 1 2
1 4 3
7 10 1
13 16 3
2 5 3
1 2 2
17 19 2
5 7 3
18 21 1
12 14 3
18 20 3
11 15 2
5 8 2
21 0 3
18 21 1
0 4 2
17 18 1
3 5 1
20 23 2
23 2 2
16 19 2
14 17 1
22 1 2
7 9 1
19 22 2
17 19 1
1 5 2
23 1 1
7 10 3
12 13 1
22 23 2
17 21 2
18 22 1
15 19 3
8 11 3
18 20 3
2 5 2
18 21 3
3 6 1
2 5 1
17 20 3
6 10 3
12 15 1
22 2 1
4 7 2
15 18 1
11 14 1
21 0 2
10 14 2
4 6 1
21 0 3
11 13 1
5 7 1
19 20 3
22 2 2
5 8 3
10 12 3
22 3 2
17 21 3
2 4 1
18 21 2
5 8 1
4 9 2
22 1 2
8 9 1
14 19 2
2 4 3
19 20 2
5 8 1
12 16 2
20 22 2
15 17 1
2 6 1
6 8 2
5 11 2
16 17 1
17 20 3
22 23 1
12 15 1
11 15 1
23 1 3
22 0 2
6 9 2
21 1 3
9 11 3
7 12 3
5 7 2
3 5 2
13 18 1
21 2 1
0 3 2
22 1 3
19 23 1
19 23 1
9 14 1
11 14 2
15 18 2
11 15 3
17 20 2
13 17 2
10 13 1
4 8 2
1 3 3
5 10 1
21 23 2
2 5 3
2 7 2
6 10 2
1 5 2
2 4 1
17 22 3
21 1 3
23 1 2
5 9 2
13 16 1
15 18 3
13 16 2
19 0 3
4 7 1
14 19 3
16 19 2
1 4 2
0 3 1
21 1 2
6 10 2
12 14 2
1 4 1
4 7 1
11 15 3
22 2 1
0 4 2
3 6 3
14 17 2
18 23 2
1 4 1
16 19 3
6 10 3
12 14 1
1 3 3
21 0 3
15 18 2
18 22 2
5 8 2
10 14 3
7 10 2
5 9 1
20 0 2
7 11 1
11 14 3
23 3 2
16 17 2
1 3 2
11 14 2
18 20 2
3 6 3
4 7 1
12 17 1
22 1 3
7 9 3
20 0 1
20 0 3
6 11 2
4 6 1
17 19 1
11 13 2
15 19 1
15 18 1
11 13 2
0 3 2
18 22 2
18 20 3
13 15 1
5 8 1
13 18 3
20 23 3
15 18 3
19 23 2
3 7 1
6 10 1
2 5 2
14 17 3
18 21 3
21 0 1
16 19 2
8 11 2
16 18 2
21 1 1
22 2 2
15 18 1
6 8 1
0 4 2
5 10 3
6 10 3
1 4 3
0 3 3
3 7 1
3 5 2
21 0 2
5 9 3
7 11 2
17 20 3
19 23 3
16 18 3
10 13 3
10 13 2
7 12 1
7 9 1
19 21 2
15 19 1
7 11 3
14 16 3
18 21 2
7 10 1
16 18 3
2 7 1
5 8 3
2 3 2
20 23 1
11 14 3
12 15 3
11 15 2
3 5 1
18 21 2
1 4 2
23 2 2
15 19 3
23 0 2
4 6 2
11 14 2
1 5 1
5 7 3
15 18 1
8 12 3
22 1 1
18 21 3
1 5 1
22 2 1
4 8 2
18 19 1
1 4 2
0 4 1
9 14 2
15 19 3
4 6 1
11 14 2
22 1 1
20 23 2
10 14 2
19 21 1
4 7 1
22 2 2
17 20 1
21 23 3
9 13 1
7 10 3
15 17 2
2 5 2
7 8 1
18 21 1
21 0 3
11 14 1
0 3 2
16 20 1
10 12 3
17 21 1
14 18 2
16 20 3
19 23 3
1 5 3
20 23 2
7 10 1
10 13 3
16 19 2
1 3 1
11 11 2
11 15 1
3 5 2
10 13 3
10 13 2
13 15 1
17 19 3
9 14 3
16 18 2
17 19 3
17 20 1
23 3 3
2 6 3
22 0 3
22 1 3
14 16 1
5 9 1
7 9 1
4 6 3
6 8 3
12 15 2
1 4 3
12 16 3
7 9 3
21 0 1
7 11 3
6 10 2
20 0 2
16 18 1
23 1 3
2 5 1
12 17 1
13 15 3
20 21 3
3 7 2
8 11 3
18 19 1
2 6 3
10 14 3
8 10 2
2 5 2
21 0 3
14 16 3
3 6 1
16 19 2
14 16 3
9 12 3
21 0 3
21 1 1
21 0 3
16 19 3
3 5 1
